speaker,title,Start Time,End Time,volatility
Governor Adriana D. Kugler,Disinflation without a Rise in Unemployment?  What Is Different This Time Around,2024-05-01 14:30:00,2024-05-01 14:55:00,0.001133167033073126
Governor Michelle W. Bowman,The Future of Stress Testing and the Stress Capital Buffer Framework,2024-08-01 14:00:00,2024-08-01 14:30:00,0.00041860241931468325
Vice Chair Philip N. Jefferson,U.S. Economic Outlook and Housing Price Dynamics,2024-10-01 13:00:00,2024-10-01 13:14:00,0.0003425368786874799
Governor Michelle W. Bowman,Challenges to the Community Banking Model,2024-10-01 13:00:00,2024-10-01 13:17:00,0.0003351756271166613
Vice Chair Philip N. Jefferson,Economic Uncertainty and the Evolution of Monetary Policymaking,2024-10-01 13:00:00,2024-10-01 13:19:00,0.0003332983566153228
Governor Christopher J. Waller,Almost as Good as It Gets…But Will It Last?,2024-10-01 13:00:00,2024-10-01 13:21:00,0.0003312349166832085
Governor Adriana D. Kugler,The Challenges Facing Economic Measurement and Creative Solutions,2024-10-01 13:00:00,2024-10-01 13:29:00,0.00030954497736244085
Governor Lisa D. Cook,Growth and Change at Community Development Financial Institutions,2024-10-01 13:00:00,2024-10-01 13:12:00,0.0002706894970085203
Governor Lisa D. Cook,Lessons from the American Economic Association Summer Program,2024-10-01 13:00:00,2024-10-01 13:10:00,0.00026362442261188126
Governor Christopher J. Waller,The Dollar's International Role,2024-05-01 13:10:00,2024-05-01 13:29:00,0.0002421382450397255
Vice Chair for Supervision Michael S. Barr,Commencement Remarks,2024-07-01 13:15:00,2024-07-01 13:27:00,0.00023966565277626744
Governor Adriana D. Kugler,How We Got Here:  A Perspective on Inflation and the Labor Market,2024-05-01 13:00:00,2024-05-01 13:23:00,0.00022570104804026854
Governor Christopher J. Waller,Interlinking Fast Payment Systems,2024-10-01 19:00:00,2024-10-01 19:14:00,0.00017749952642031523
Governor Michelle W. Bowman,"Brief Remarks on the Economy, Monetary Policy, and Bank Regulation",2024-04-01 13:05:00,2024-04-01 13:33:00,0.00017186701914788646
Governor Michelle W. Bowman,The Future of Banking,2024-04-01 13:05:00,2024-04-01 13:31:00,0.0001709472882309509
Governor Adriana D. Kugler,The Outlook for the U.S. Economy and Monetary Policy,2024-05-01 13:00:00,2024-05-01 13:19:00,0.00016808766374619408
Governor Michelle W. Bowman,Opening Remarks,2024-04-01 13:05:00,2024-04-01 13:10:00,0.00015984535319424686
Governor Michelle W. Bowman,The Federal Reserve's Balance Sheet as a Monetary Policy Tool:  Past Lessons and Future Considerations,2024-04-01 13:05:00,2024-04-01 13:27:00,0.00015196956463073137
Governor Michelle W. Bowman,Opening Remarks,2024-04-01 13:05:00,2024-04-01 13:12:00,0.00014361007085029112
Governor Michelle W. Bowman,"Accountability for Banks, Accountability for Regulators",2024-05-01 13:00:00,2024-05-01 13:10:00,0.0001413615381873893
Governor Lisa D. Cook,"""Oh, the Places You’ll Go and the Things You’ll Do""",2024-04-01 13:05:00,2024-04-01 13:21:00,0.00013797404575940323
Governor Adriana D. Kugler,Some Reasons for Optimism about Inflation,2024-04-01 13:05:00,2024-04-01 13:25:00,0.0001356534796211241
Governor Michelle W. Bowman,Statement by Governor Michelle W. Bowman,2024-07-01 13:35:00,2024-07-01 13:39:00,0.00013477117897338825
Vice Chair for Supervision Michael S. Barr,"The Intersection of Monetary Policy, Market Functioning, and Liquidity Risk Management",2024-05-01 19:30:00,2024-05-01 19:48:00,0.0001194817580490638
Vice Chair for Supervision Michael S. Barr,The Next Steps on Capital,2024-09-01 17:55:00,2024-09-01 18:19:00,0.0001119191262959063
Vice Chair for Supervision Michael S. Barr,"Supervision with Speed, Force, and Agility",2024-05-01 19:20:00,2024-05-01 19:42:00,8.468172927798079e-05
Governor Michelle W. Bowman,Recent Views on Monetary Policy and the Economic Outlook,2024-04-01 16:10:00,2024-04-01 16:27:00,7.898719259639629e-05
Governor Christopher J. Waller,The Time Has Come,2024-09-01 20:00:00,2024-09-01 20:18:00,7.26447643001154e-05
Governor Michelle W. Bowman,The Path Forward for Bank Capital Reform,2024-07-01 18:30:00,2024-07-01 18:52:00,6.338450712835744e-05
Governor Christopher J. Waller,Thoughts on the Economy and Policy Rules at the Federal Open Market Committee,2024-07-01 18:30:00,2024-07-01 18:53:00,6.205278787973489e-05
Vice Chair for Supervision Michael S. Barr,Supporting Market Resilience and Financial Stability,2024-02-02 00:35:00,2024-02-02 00:53:00,5.788680283326899e-05
Governor Michelle W. Bowman,Innovation in the Financial System,2024-07-01 18:30:00,2024-07-01 18:59:00,5.528080443280673e-05
Governor Christopher J. Waller,Getting Closer,2024-07-01 18:30:00,2024-07-01 18:51:00,3.809034429194564e-05
Governor Michelle W. Bowman,Innovation and the Evolving Financial Landscape,2024-07-01 18:30:00,2024-07-01 18:48:00,3.809034429194564e-05
Governor Christopher J. Waller,"Little by Little, Progress Seems to be Resuming.",2024-07-01 18:30:00,2024-07-01 18:48:00,3.809034429194564e-05
Governor Michelle W. Bowman,Opening Remarks,2024-07-01 18:30:00,2024-07-01 18:38:00,2.8798150207263014e-05
